draw_no,date,rank,numbers,core_group,core5,cover_number,core5_matches,main_matches,bonus_match,grade,score,core_score,config_reason,recent_window,core_pool_size,cover_pool_size,actual,bonus,train_draws,train_until_draw_no
2,2000-10-12,1,02 10 13 27 30 33,A,02 10 13 27 30,33,0,0,False,はずれ,0.712891,0.7896,no_prior_nested_result,120,22,34,01 09 16 20 21 43,5,1,1
2,2000-10-12,2,02 10 13 25 27 30,A,02 10 13 27 30,25,0,0,False,はずれ,0.709051,0.7896,no_prior_nested_result,120,22,34,01 09 16 20 21 43,5,1,1
2,2000-10-12,3,02 08 13 19 27 30,B,02 08 19 27 30,13,0,0,False,はずれ,0.65206,0.63864,no_prior_nested_result,120,22,34,01 09 16 20 21 43,5,1,1
2,2000-10-12,4,02 08 10 19 27 30,B,02 08 19 27 30,10,0,0,False,はずれ,0.646247,0.63864,no_prior_nested_result,120,22,34,01 09 16 20 21 43,5,1,1
2,2000-10-12,5,02 08 13 17 27 30,C,02 08 13 17 30,27,0,0,False,はずれ,0.65174,0.63864,no_prior_nested_result,120,22,34,01 09 16 20 21 43,5,1,1
3,2000-10-19,1,02 10 13 27 30 43,A,02 10 13 27 30,43,0,0,True,はずれ,0.804404,0.820533,no_core4_seen_expand_pool,120,30,40,01 05 15 31 36 38,13,2,2
3,2000-10-19,2,02 10 13 21 27 30,A,02 10 13 27 30,21,0,0,True,はずれ,0.798324,0.820533,no_core4_seen_expand_pool,120,30,40,01 05 15 31 36 38,13,2,2
3,2000-10-19,3,09 16 20 21 30 43,B,09 16 20 21 43,30,0,0,False,はずれ,0.781482,0.7916,no_core4_seen_expand_pool,120,30,40,01 05 15 31 36 38,13,2,2
3,2000-10-19,4,02 09 16 20 21 43,B,09 16 20 21 43,2,0,0,False,はずれ,0.779242,0.7916,no_core4_seen_expand_pool,120,30,40,01 05 15 31 36 38,13,2,2
3,2000-10-19,5,08 10 13 27 30 43,C,08 13 27 30 43,10,0,0,True,はずれ,0.742725,0.72868,no_core4_seen_expand_pool,120,30,40,01 05 15 31 36 38,13,2,2
4,2000-10-26,1,01 16 20 21 30 43,A,01 16 20 21 43,30,1,1,False,はずれ,0.607855,0.629787,no_core4_seen_expand_pool,120,30,40,16 18 26 27 34 40,13,3,3
4,2000-10-26,2,01 10 16 20 21 43,A,01 16 20 21 43,10,1,1,False,はずれ,0.604655,0.629787,no_core4_seen_expand_pool,120,30,40,16 18 26 27 34 40,13,3,3
4,2000-10-26,3,01 02 10 13 27 30,B,02 10 13 27 30,1,1,1,True,はずれ,0.625835,0.6272,no_core4_seen_expand_pool,120,30,40,16 18 26 27 34 40,13,3,3
4,2000-10-26,4,02 10 13 27 30 43,B,02 10 13 27 30,43,1,1,True,はずれ,0.602848,0.6272,no_core4_seen_expand_pool,120,30,40,16 18 26 27 34 40,13,3,3
4,2000-10-26,5,01 08 15 31 36 38,C,01 15 31 36 38,8,0,0,False,はずれ,0.590394,0.60756,no_core4_seen_expand_pool,120,30,40,16 18 26 27 34 40,13,3,3
5,2000-11-02,1,01 16 20 21 27 43,A,01 16 20 21 43,27,1,2,True,はずれ,0.678278,0.678971,no_core4_seen_expand_pool,120,30,40,09 15 21 23 27 28,43,4,4
5,2000-11-02,2,01 16 20 21 30 43,A,01 16 20 21 43,30,1,1,True,はずれ,0.651718,0.678971,no_core4_seen_expand_pool,120,30,40,09 15 21 23 27 28,43,4,4
5,2000-11-02,3,01 02 10 13 27 30,B,02 10 13 27 30,1,1,1,False,はずれ,0.663577,0.667104,no_core4_seen_expand_pool,120,30,40,09 15 21 23 27 28,43,4,4
5,2000-11-02,4,02 10 13 16 27 30,B,02 10 13 27 30,16,1,1,False,はずれ,0.66347,0.667104,no_core4_seen_expand_pool,120,30,40,09 15 21 23 27 28,43,4,4
5,2000-11-02,5,01 09 16 20 27 43,C,01 09 16 20 27,43,2,2,True,はずれ,0.636207,0.659307,no_core4_seen_expand_pool,120,30,40,09 15 21 23 27 28,43,4,4
6,2000-11-09,1,01 09 15 16 21 27,A,01 09 16 21 27,15,0,0,False,はずれ,0.528551,0.546187,no_core4_seen_expand_pool,120,30,40,06 12 23 25 28 38,22,5,5
6,2000-11-09,2,01 09 16 21 27 30,A,01 09 16 21 27,30,0,0,False,はずれ,0.521494,0.546187,no_core4_seen_expand_pool,120,30,40,06 12 23 25 28 38,22,5,5
6,2000-11-09,3,01 09 15 16 27 40,B,09 15 16 27 40,1,0,0,False,はずれ,0.515903,0.517587,no_core4_seen_expand_pool,120,30,40,06 12 23 25 28 38,22,5,5
6,2000-11-09,4,09 15 16 21 27 40,B,09 15 16 27 40,21,0,0,False,はずれ,0.515512,0.517587,no_core4_seen_expand_pool,120,30,40,06 12 23 25 28 38,22,5,5
6,2000-11-09,5,02 09 16 20 27 43,C,09 16 20 27 43,2,0,0,False,はずれ,0.498896,0.512213,no_core4_seen_expand_pool,120,30,40,06 12 23 25 28 38,22,5,5
7,2000-11-16,1,09 16 21 27 28 38,A,09 16 21 27 28,38,1,1,False,はずれ,0.559345,0.566497,no_core4_seen_expand_pool,120,30,40,07 19 21 23 33 35,26,6,6
7,2000-11-16,2,01 09 16 21 27 28,A,09 16 21 27 28,1,1,1,False,はずれ,0.557996,0.566497,no_core4_seen_expand_pool,120,30,40,07 19 21 23 33 35,26,6,6
7,2000-11-16,3,09 15 23 27 28 38,B,15 23 27 28 38,9,1,1,False,はずれ,0.558255,0.56521,no_core4_seen_expand_pool,120,30,40,07 19 21 23 33 35,26,6,6
7,2000-11-16,4,15 16 23 27 28 38,B,15 23 27 28 38,16,1,1,False,はずれ,0.554819,0.56521,no_core4_seen_expand_pool,120,30,40,07 19 21 23 33 35,26,6,6
7,2000-11-16,5,09 15 21 27 28 38,C,09 15 21 28 38,27,1,1,False,はずれ,0.567947,0.546688,no_core4_seen_expand_pool,120,30,40,07 19 21 23 33 35,26,6,6
8,2000-11-23,1,09 21 23 27 28 38,A,09 21 23 28 38,27,0,0,True,はずれ,0.62612,0.615693,no_core4_seen_expand_pool,120,30,40,11 16 18 20 42 43,28,7,7
8,2000-11-23,2,09 16 21 23 28 38,A,09 21 23 28 38,16,0,1,True,はずれ,0.612386,0.615693,no_core4_seen_expand_pool,120,30,40,11 16 18 20 42 43,28,7,7
8,2000-11-23,3,09 16 21 23 27 38,B,09 16 21 23 27,38,1,1,False,はずれ,0.599385,0.607493,no_core4_seen_expand_pool,120,30,40,11 16 18 20 42 43,28,7,7
8,2000-11-23,4,09 16 21 23 27 28,B,09 16 21 23 27,28,1,1,True,はずれ,0.596772,0.607493,no_core4_seen_expand_pool,120,30,40,11 16 18 20 42 43,28,7,7
8,2000-11-23,5,15 21 23 27 28 38,C,15 23 27 28 38,21,0,0,True,はずれ,0.61078,0.601667,no_core4_seen_expand_pool,120,30,40,11 16 18 20 42 43,28,7,7
9,2000-11-30,1,09 16 20 21 27 43,A,09 16 20 21 43,27,0,0,False,はずれ,0.655316,0.644329,no_core4_seen_expand_pool,120,30,40,11 19 23 38 39 42,15,8,8
9,2000-11-30,2,09 16 20 21 23 43,A,09 16 20 21 43,23,0,1,False,はずれ,0.651926,0.644329,no_core4_seen_expand_pool,120,30,40,11 19 23 38 39 42,15,8,8
9,2000-11-30,3,09 16 21 23 27 38,B,09 16 21 23 27,38,1,2,False,はずれ,0.62517,0.635591,no_core4_seen_expand_pool,120,30,40,11 19 23 38 39 42,15,8,8
9,2000-11-30,4,09 16 21 23 27 28,B,09 16 21 23 27,28,1,1,False,はずれ,0.622557,0.635591,no_core4_seen_expand_pool,120,30,40,11 19 23 38 39 42,15,8,8
9,2000-11-30,5,01 16 18 21 27 43,C,16 18 21 27 43,1,0,0,False,はずれ,0.623887,0.630502,no_core4_seen_expand_pool,120,30,40,11 19 23 38 39 42,15,8,8
10,2000-12-07,1,09 16 21 23 28 38,A,09 21 23 28 38,16,1,1,False,はずれ,0.594951,0.593357,no_core4_seen_expand_pool,120,30,40,01 03 19 21 35 39,26,9,9
10,2000-12-07,2,09 21 23 27 28 38,A,09 21 23 28 38,27,1,1,False,はずれ,0.589191,0.593357,no_core4_seen_expand_pool,120,30,40,01 03 19 21 35 39,26,9,9
10,2000-12-07,3,15 21 23 27 28 38,B,15 23 27 28 38,21,0,1,False,はずれ,0.573965,0.578403,no_core4_seen_expand_pool,120,30,40,01 03 19 21 35 39,26,9,9
10,2000-12-07,4,01 15 23 27 28 38,B,15 23 27 28 38,1,0,1,False,はずれ,0.562898,0.578403,no_core4_seen_expand_pool,120,30,40,01 03 19 21 35 39,26,9,9
10,2000-12-07,5,09 16 21 23 27 38,C,16 21 23 27 38,9,1,1,False,はずれ,0.564433,0.575072,no_core4_seen_expand_pool,120,30,40,01 03 19 21 35 39,26,9,9
11,2000-12-14,1,16 19 21 23 38 42,A,19 21 23 38 42,16,1,1,True,はずれ,0.62229,0.628808,no_core4_seen_expand_pool,120,30,40,12 26 32 37 40 42,16,10,10
11,2000-12-14,2,01 19 21 23 38 42,A,19 21 23 38 42,1,1,1,False,はずれ,0.621073,0.628808,no_core4_seen_expand_pool,120,30,40,12 26 32 37 40 42,16,10,10
11,2000-12-14,3,09 19 21 23 28 38,B,09 21 23 28 38,19,0,0,False,はずれ,0.610442,0.616093,no_core4_seen_expand_pool,120,30,40,12 26 32 37 40 42,16,10,10
11,2000-12-14,4,09 21 23 27 28 38,B,09 21 23 28 38,27,0,0,False,はずれ,0.609618,0.616093,no_core4_seen_expand_pool,120,30,40,12 26 32 37 40 42,16,10,10
11,2000-12-14,5,01 16 21 23 28 38,C,01 16 21 23 38,28,0,0,True,はずれ,0.595201,0.608709,no_core4_seen_expand_pool,120,30,40,12 26 32 37 40 42,16,10,10
12,2000-12-21,1,16 19 21 23 38 42,A,19 21 23 38 42,16,0,0,False,はずれ,0.644984,0.653907,no_core4_seen_expand_pool,120,30,40,14 17 27 28 35 39,22,11,11
12,2000-12-21,2,01 19 21 23 38 42,A,19 21 23 38 42,1,0,0,False,はずれ,0.644042,0.653907,no_core4_seen_expand_pool,120,30,40,14 17 27 28 35 39,22,11,11
12,2000-12-21,3,09 19 21 23 28 38,B,09 21 23 28 38,19,1,1,False,はずれ,0.617243,0.62228,no_core4_seen_expand_pool,120,30,40,14 17 27 28 35 39,22,11,11
12,2000-12-21,4,09 21 23 27 28 38,B,09 21 23 28 38,27,1,2,False,はずれ,0.615732,0.62228,no_core4_seen_expand_pool,120,30,40,14 17 27 28 35 39,22,11,11
12,2000-12-21,5,01 16 21 23 38 42,C,01 16 21 23 38,42,0,0,False,はずれ,0.615831,0.61588,no_core4_seen_expand_pool,120,30,40,14 17 27 28 35 39,22,11,11
13,2000-12-28,1,19 21 23 27 38 42,A,19 21 23 38 42,27,1,1,False,はずれ,0.65925,0.660331,no_core4_seen_expand_pool,120,30,40,13 29 31 37 41 42,17,12,12
13,2000-12-28,2,16 19 21 23 38 42,A,19 21 23 38 42,16,1,1,False,はずれ,0.651523,0.660331,no_core4_seen_expand_pool,120,30,40,13 29 31 37 41 42,17,12,12
13,2000-12-28,3,01 21 23 27 28 38,B,21 23 27 28 38,1,0,0,False,はずれ,0.630456,0.642928,no_core4_seen_expand_pool,120,30,40,13 29 31 37 41 42,17,12,12
13,2000-12-28,4,19 21 23 27 28 38,B,21 23 27 28 38,19,0,0,False,はずれ,0.630029,0.642928,no_core4_seen_expand_pool,120,30,40,13 29 31 37 41 42,17,12,12
13,2000-12-28,5,19 21 23 28 35 39,C,19 21 23 35 39,28,0,0,False,はずれ,0.627068,0.641621,no_core4_seen_expand_pool,120,30,40,13 29 31 37 41 42,17,12,12
14,2001-01-04,1,19 21 23 27 38 42,A,19 21 23 38 42,27,1,1,False,はずれ,0.680838,0.684067,no_core4_seen_expand_pool,120,30,40,02 08 11 35 37 38,43,13,13
14,2001-01-04,2,16 19 21 23 38 42,A,19 21 23 38 42,16,1,1,False,はずれ,0.672712,0.684067,no_core4_seen_expand_pool,120,30,40,02 08 11 35 37 38,43,13,13
14,2001-01-04,3,21 23 27 28 38 42,B,21 23 27 28 38,42,1,1,False,はずれ,0.650583,0.648741,no_core4_seen_expand_pool,120,30,40,02 08 11 35 37 38,43,13,13
14,2001-01-04,4,01 21 23 27 28 38,B,21 23 27 28 38,1,1,1,False,はずれ,0.636522,0.648741,no_core4_seen_expand_pool,120,30,40,02 08 11 35 37 38,43,13,13
14,2001-01-04,5,16 21 23 27 38 42,C,16 21 23 27 42,38,0,1,False,はずれ,0.642475,0.648621,no_core4_seen_expand_pool,120,30,40,02 08 11 35 37 38,43,13,13
15,2001-01-11,1,19 21 23 35 38 42,A,19 21 23 38 42,35,1,1,False,はずれ,0.699963,0.703709,no_core4_seen_expand_pool,120,30,40,04 06 11 20 21 28,36,14,14
15,2001-01-11,2,19 21 23 27 38 42,A,19 21 23 38 42,27,1,1,False,はずれ,0.698754,0.703709,no_core4_seen_expand_pool,120,30,40,04 06 11 20 21 28,36,14,14
15,2001-01-11,3,11 21 23 35 38 42,B,11 23 35 38 42,21,1,2,False,はずれ,0.697629,0.697144,no_core4_seen_expand_pool,120,30,40,04 06 11 20 21 28,36,14,14
15,2001-01-11,4,11 16 23 35 38 42,B,11 23 35 38 42,16,1,1,False,はずれ,0.683327,0.697144,no_core4_seen_expand_pool,120,30,40,04 06 11 20 21 28,36,14,14
15,2001-01-11,5,21 23 28 35 38 42,C,21 23 28 35 38,42,2,2,False,はずれ,0.679371,0.677997,no_core4_seen_expand_pool,120,30,40,04 06 11 20 21 28,36,14,14
16,2001-01-18,1,11 21 23 28 38 42,A,11 21 23 28 38,42,0,0,False,はずれ,0.660316,0.667237,no_core4_seen_expand_pool,120,30,40,05 12 13 29 34 35,30,15,15
16,2001-01-18,2,11 21 23 28 35 38,A,11 21 23 28 38,35,0,1,False,はずれ,0.654862,0.667237,no_core4_seen_expand_pool,120,30,40,05 12 13 29 34 35,30,15,15
16,2001-01-18,3,11 19 21 23 38 42,B,11 19 23 38 42,21,0,0,False,はずれ,0.649096,0.640616,no_core4_seen_expand_pool,120,30,40,05 12 13 29 34 35,30,15,15
16,2001-01-18,4,11 19 23 28 38 42,B,11 19 23 38 42,28,0,0,False,はずれ,0.635763,0.640616,no_core4_seen_expand_pool,120,30,40,05 12 13 29 34 35,30,15,15
16,2001-01-18,5,19 21 23 28 35 38,C,19 21 23 28 35,38,1,1,False,はずれ,0.62896,0.634,no_core4_seen_expand_pool,120,30,40,05 12 13 29 34 35,30,15,15
17,2001-01-25,1,11 21 23 28 35 38,A,11 21 23 28 38,35,0,1,True,はずれ,0.674308,0.672219,no_core4_seen_expand_pool,120,30,40,14 20 25 34 35 36,11,16,16
17,2001-01-25,2,11 21 23 28 38 42,A,11 21 23 28 38,42,0,0,True,はずれ,0.665508,0.672219,no_core4_seen_expand_pool,120,30,40,14 20 25 34 35 36,11,16,16
17,2001-01-25,3,11 21 23 35 38 42,B,11 23 35 38 42,21,1,1,True,はずれ,0.661601,0.657977,no_core4_seen_expand_pool,120,30,40,14 20 25 34 35 36,11,16,16
17,2001-01-25,4,11 23 28 35 38 42,B,11 23 35 38 42,28,1,1,True,はずれ,0.649494,0.657977,no_core4_seen_expand_pool,120,30,40,14 20 25 34 35 36,11,16,16
17,2001-01-25,5,06 21 23 28 35 38,C,06 21 23 28 35,38,1,1,False,はずれ,0.64888,0.653331,no_core4_seen_expand_pool,120,30,40,14 20 25 34 35 36,11,16,16
18,2001-02-01,1,11 20 21 23 28 35,A,11 20 21 28 35,23,0,0,False,はずれ,0.618254,0.62968,no_core4_seen_expand_pool,120,30,40,06 16 18 27 36 41,33,17,17
18,2001-02-01,2,11 20 21 28 35 42,A,11 20 21 28 35,42,0,0,False,はずれ,0.615397,0.62968,no_core4_seen_expand_pool,120,30,40,06 16 18 27 36 41,33,17,17
18,2001-02-01,3,11 21 23 28 35 38,B,11 21 23 28 38,35,0,0,False,はずれ,0.62811,0.618182,no_core4_seen_expand_pool,120,30,40,06 16 18 27 36 41,33,17,17
18,2001-02-01,4,11 20 21 23 28 38,B,11 21 23 28 38,20,0,0,False,はずれ,0.603416,0.618182,no_core4_seen_expand_pool,120,30,40,06 16 18 27 36 41,33,17,17
18,2001-02-01,5,11 21 23 35 38 42,C,11 23 35 38 42,21,0,0,False,はずれ,0.613719,0.616769,no_core4_seen_expand_pool,120,30,40,06 16 18 27 36 41,33,17,17
19,2001-02-08,1,11 20 21 23 28 35,A,11 20 21 28 35,23,0,0,False,はずれ,0.573063,0.578239,no_core4_seen_expand_pool,120,30,40,04 08 12 30 33 43,14,18,18
19,2001-02-08,2,11 20 21 27 28 35,A,11 20 21 28 35,27,0,0,False,はずれ,0.571798,0.578239,no_core4_seen_expand_pool,120,30,40,04 08 12 30 33 43,14,18,18
19,2001-02-08,3,06 21 23 28 35 38,B,06 21 23 28 35,38,0,0,False,はずれ,0.570702,0.574203,no_core4_seen_expand_pool,120,30,40,04 08 12 30 33 43,14,18,18
19,2001-02-08,4,06 21 23 28 35 42,B,06 21 23 28 35,42,0,0,False,はずれ,0.570305,0.574203,no_core4_seen_expand_pool,120,30,40,04 08 12 30 33 43,14,18,18
19,2001-02-08,5,11 21 23 35 38 42,C,11 23 35 38 42,21,0,0,False,はずれ,0.575483,0.572731,no_core4_seen_expand_pool,120,30,40,04 08 12 30 33 43,14,18,18
20,2001-02-15,1,11 20 21 23 28 35,A,11 20 21 28 35,23,1,1,False,はずれ,0.577048,0.582341,no_core4_seen_expand_pool,120,30,40,07 29 33 35 37 39,19,19,19
20,2001-02-15,2,11 20 21 27 28 35,A,11 20 21 28 35,27,1,1,False,はずれ,0.576213,0.582341,no_core4_seen_expand_pool,120,30,40,07 29 33 35 37 39,19,19,19
20,2001-02-15,3,06 21 23 28 35 38,B,06 21 23 28 35,38,1,1,False,はずれ,0.574716,0.578061,no_core4_seen_expand_pool,120,30,40,07 29 33 35 37 39,19,19,19
20,2001-02-15,4,06 21 23 28 35 42,B,06 21 23 28 35,42,1,1,False,はずれ,0.574272,0.578061,no_core4_seen_expand_pool,120,30,40,07 29 33 35 37 39,19,19,19
20,2001-02-15,5,11 21 23 35 38 42,C,11 23 35 38 42,21,1,1,False,はずれ,0.579295,0.576296,no_core4_seen_expand_pool,120,30,40,07 29 33 35 37 39,19,19,19
21,2001-02-22,1,11 20 21 23 28 35,A,11 20 21 28 35,23,0,0,False,はずれ,0.541713,0.549596,no_core4_seen_expand_pool,120,30,40,05 07 13 19 38 41,42,20,20
21,2001-02-22,2,11 20 21 28 35 42,A,11 20 21 28 35,42,0,0,True,はずれ,0.540659,0.549596,no_core4_seen_expand_pool,120,30,40,05 07 13 19 38 41,42,20,20
21,2001-02-22,3,06 21 23 27 28 35,B,06 21 23 28 35,27,0,0,False,はずれ,0.542556,0.547084,no_core4_seen_expand_pool,120,30,40,05 07 13 19 38 41,42,20,20
21,2001-02-22,4,06 21 23 28 35 38,B,06 21 23 28 35,38,0,1,False,はずれ,0.541109,0.547084,no_core4_seen_expand_pool,120,30,40,05 07 13 19 38 41,42,20,20
21,2001-02-22,5,11 21 23 35 38 42,C,11 23 35 38 42,21,1,1,True,はずれ,0.54356,0.545053,no_core4_seen_expand_pool,120,30,40,05 07 13 19 38 41,42,20,20
22,2001-03-01,1,11 21 23 35 38 42,A,11 23 35 38 42,21,1,1,False,はずれ,0.551951,0.554132,no_core4_seen_expand_pool,120,30,40,08 12 16 19 20 35,41,21,21
22,2001-03-01,2,11 23 27 35 38 42,A,11 23 35 38 42,27,1,1,False,はずれ,0.546064,0.554132,no_core4_seen_expand_pool,120,30,40,08 12 16 19 20 35,41,21,21
22,2001-03-01,3,11 20 21 28 35 38,B,11 20 21 28 35,38,2,2,False,はずれ,0.548158,0.553091,no_core4_seen_expand_pool,120,30,40,08 12 16 19 20 35,41,21,21
22,2001-03-01,4,11 20 21 23 28 35,B,11 20 21 28 35,23,2,2,False,はずれ,0.545094,0.553091,no_core4_seen_expand_pool,120,30,40,08 12 16 19 20 35,41,21,21
22,2001-03-01,5,06 12 21 23 28 35,C,06 21 23 28 35,12,1,2,False,はずれ,0.544055,0.550378,no_core4_seen_expand_pool,120,30,40,08 12 16 19 20 35,41,21,21
23,2001-03-08,1,12 16 19 20 21 35,A,16 19 20 21 35,12,0,0,False,はずれ,0.553735,0.568969,no_core4_seen_expand_pool,120,30,40,07 10 28 32 33 40,13,22,22
23,2001-03-08,2,16 19 20 21 35 38,A,16 19 20 21 35,38,0,0,False,はずれ,0.551608,0.568969,no_core4_seen_expand_pool,120,30,40,07 10 28 32 33 40,13,22,22
23,2001-03-08,3,08 12 16 19 21 35,B,08 12 19 21 35,16,0,0,False,はずれ,0.551983,0.559862,no_core4_seen_expand_pool,120,30,40,07 10 28 32 33 40,13,22,22
23,2001-03-08,4,08 12 19 21 35 42,B,08 12 19 21 35,42,0,0,False,はずれ,0.551545,0.559862,no_core4_seen_expand_pool,120,30,40,07 10 28 32 33 40,13,22,22
23,2001-03-08,5,12 19 21 23 35 38,C,12 19 23 35 38,21,0,0,False,はずれ,0.55268,0.559844,no_core4_seen_expand_pool,120,30,40,07 10 28 32 33 40,13,22,22
24,2001-03-15,1,12 16 19 20 21 35,A,16 19 20 21 35,12,1,1,False,はずれ,0.557595,0.5726,no_core4_seen_expand_pool,120,30,40,15 18 19 30 36 38,13,23,23
24,2001-03-15,2,16 19 20 21 28 35,A,16 19 20 21 35,28,1,1,False,はずれ,0.556342,0.5726,no_core4_seen_expand_pool,120,30,40,15 18 19 30 36 38,13,23,23
24,2001-03-15,3,08 12 19 21 35 38,B,08 12 19 21 35,38,1,2,False,はずれ,0.559798,0.563493,no_core4_seen_expand_pool,120,30,40,15 18 19 30 36 38,13,23,23
24,2001-03-15,4,08 12 16 19 21 35,B,08 12 19 21 35,16,1,1,False,はずれ,0.555843,0.563493,no_core4_seen_expand_pool,120,30,40,15 18 19 30 36 38,13,23,23
24,2001-03-15,5,12 19 21 23 35 38,C,12 19 23 35 38,21,2,2,False,はずれ,0.556109,0.56324,no_core4_seen_expand_pool,120,30,40,15 18 19 30 36 38,13,23,23
25,2001-03-22,1,12 19 21 23 35 38,A,12 19 23 35 38,21,0,0,False,はずれ,0.580679,0.591532,no_core4_seen_expand_pool,120,30,40,11 32 34 37 40 43,8,24,24
25,2001-03-22,2,12 16 19 23 35 38,A,12 19 23 35 38,16,0,0,False,はずれ,0.579281,0.591532,no_core4_seen_expand_pool,120,30,40,11 32 34 37 40 43,8,24,24
25,2001-03-22,3,16 19 20 21 35 38,B,16 19 20 21 35,38,0,0,False,はずれ,0.575454,0.584896,no_core4_seen_expand_pool,120,30,40,11 32 34 37 40 43,8,24,24
25,2001-03-22,4,12 16 19 20 21 35,B,16 19 20 21 35,12,0,0,False,はずれ,0.568803,0.584896,no_core4_seen_expand_pool,120,30,40,11 32 34 37 40 43,8,24,24
25,2001-03-22,5,08 19 21 28 35 38,C,08 19 21 35 38,28,0,0,True,はずれ,0.57257,0.583078,no_core4_seen_expand_pool,120,30,40,11 32 34 37 40 43,8,24,24
26,2001-03-29,1,12 19 21 23 35 38,A,12 19 23 35 38,21,1,1,False,はずれ,0.583713,0.594559,no_core4_seen_expand_pool,120,30,40,03 04 11 12 13 43,22,25,25
26,2001-03-29,2,12 16 19 23 35 38,A,12 19 23 35 38,16,1,1,False,はずれ,0.582511,0.594559,no_core4_seen_expand_pool,120,30,40,03 04 11 12 13 43,22,25,25
26,2001-03-29,3,16 19 20 21 35 38,B,16 19 20 21 35,38,0,0,False,はずれ,0.578837,0.588037,no_core4_seen_expand_pool,120,30,40,03 04 11 12 13 43,22,25,25
26,2001-03-29,4,12 16 19 20 21 35,B,16 19 20 21 35,12,0,1,False,はずれ,0.57213,0.588037,no_core4_seen_expand_pool,120,30,40,03 04 11 12 13 43,22,25,25
26,2001-03-29,5,08 19 21 28 35 38,C,08 19 21 35 38,28,0,0,False,はずれ,0.575974,0.586276,no_core4_seen_expand_pool,120,30,40,03 04 11 12 13 43,22,25,25
27,2001-04-05,1,11 12 19 23 35 38,A,12 19 23 35 38,11,1,1,False,はずれ,0.593509,0.605052,no_core4_seen_expand_pool,120,30,40,04 08 20 30 33 38,10,26,26
27,2001-04-05,2,12 19 21 23 35 38,A,12 19 23 35 38,21,1,1,False,はずれ,0.593097,0.605052,no_core4_seen_expand_pool,120,30,40,04 08 20 30 33 38,10,26,26
27,2001-04-05,3,12 16 19 20 21 35,B,16 19 20 21 35,12,1,1,False,はずれ,0.582724,0.590945,no_core4_seen_expand_pool,120,30,40,04 08 20 30 33 38,10,26,26
27,2001-04-05,4,16 19 20 21 35 38,B,16 19 20 21 35,38,1,2,False,はずれ,0.581969,0.590945,no_core4_seen_expand_pool,120,30,40,04 08 20 30 33 38,10,26,26
27,2001-04-05,5,08 12 19 21 28 35,C,08 12 19 21 35,28,1,1,False,はずれ,0.580463,0.589529,no_core4_seen_expand_pool,120,30,40,04 08 20 30 33 38,10,26,26
28,2001-04-12,1,08 12 19 21 35 38,A,08 12 19 35 38,21,0,0,False,はずれ,0.617135,0.622712,no_core4_seen_expand_pool,120,30,40,06 11 15 20 31 41,7,27,27
28,2001-04-12,2,08 11 12 19 35 38,A,08 12 19 35 38,11,0,1,False,はずれ,0.614007,0.622712,no_core4_seen_expand_pool,120,30,40,06 11 15 20 31 41,7,27,27
28,2001-04-12,3,11 12 19 20 35 38,B,11 19 20 35 38,12,2,2,False,はずれ,0.602948,0.614819,no_core4_seen_expand_pool,120,30,40,06 11 15 20 31 41,7,27,27
28,2001-04-12,4,08 11 19 20 35 38,B,11 19 20 35 38,8,2,2,False,はずれ,0.600616,0.614819,no_core4_seen_expand_pool,120,30,40,06 11 15 20 31 41,7,27,27
28,2001-04-12,5,08 19 20 21 35 38,C,08 19 20 21 35,38,1,1,False,はずれ,0.614695,0.61479,no_core4_seen_expand_pool,120,30,40,06 11 15 20 31 41,7,27,27
29,2001-04-19,1,11 12 19 20 35 38,A,11 19 20 35 38,12,2,3,False,5等,0.629059,0.644773,no_core4_seen_expand_pool,120,30,40,08 12 20 35 37 40,33,28,28
29,2001-04-19,2,08 11 19 20 35 38,A,11 19 20 35 38,8,2,3,False,5等,0.626749,0.644773,no_core4_seen_expand_pool,120,30,40,08 12 20 35 37 40,33,28,28
29,2001-04-19,3,08 19 20 21 35 38,B,08 19 20 21 35,38,3,3,False,5等,0.626044,0.627333,no_core4_seen_expand_pool,120,30,40,08 12 20 35 37 40,33,28,28
29,2001-04-19,4,08 11 19 20 21 35,B,08 19 20 21 35,11,3,3,False,5等,0.618646,0.627333,no_core4_seen_expand_pool,120,30,40,08 12 20 35 37 40,33,28,28
29,2001-04-19,5,08 11 12 19 20 35,C,08 11 12 20 35,19,4,4,False,4等,0.613044,0.626613,no_core4_seen_expand_pool,120,30,40,08 12 20 35 37 40,33,28,28
30,2001-04-26,1,08 11 12 20 35 38,A,08 11 12 20 35,38,0,0,True,はずれ,0.650764,0.668312,core4_seen_balanced,120,24,36,04 16 17 19 26 37,8,29,29
30,2001-04-26,2,08 11 12 20 35 37,A,08 11 12 20 35,37,0,1,True,はずれ,0.648115,0.668312,core4_seen_balanced,120,24,36,04 16 17 19 26 37,8,29,29
30,2001-04-26,3,08 11 19 20 35 38,B,08 19 20 35 38,11,1,1,True,はずれ,0.637962,0.645077,core4_seen_balanced,120,24,36,04 16 17 19 26 37,8,29,29
30,2001-04-26,4,08 12 19 20 35 38,B,08 19 20 35 38,12,1,1,True,はずれ,0.633819,0.645077,core4_seen_balanced,120,24,36,04 16 17 19 26 37,8,29,29
30,2001-04-26,5,08 12 20 35 37 38,C,08 12 35 37 38,20,1,1,True,はずれ,0.629428,0.632704,core4_seen_balanced,120,24,36,04 16 17 19 26 37,8,29,29
